               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,             0.10639,           0.0096411,            0.016683,             0.32802,             0.28258,             0.24137,             0.11252,             0.11105,            0.019694,            0.022556,            0.001948,            0.001948,            0.001948
                 124,               0.105,           0.0092439,            0.016194,             0.33412,             0.26965,             0.24377,             0.11437,             0.11072,            0.019813,            0.022729,            0.001882,            0.001882,            0.001882
                 125,             0.10569,           0.0092736,            0.016563,             0.31254,             0.28401,             0.24322,             0.11403,             0.11088,            0.019749,            0.022817,            0.001816,            0.001816,            0.001816
                 126,             0.10618,           0.0093405,            0.016449,             0.33214,             0.27586,             0.24198,             0.11328,             0.11072,            0.019831,            0.022697,             0.00175,             0.00175,             0.00175
                 127,             0.10524,           0.0092566,            0.016009,             0.33545,             0.27333,             0.24548,             0.11623,             0.11141,            0.019843,            0.022994,            0.001684,            0.001684,            0.001684
                 128,             0.10514,           0.0092757,             0.01606,             0.31177,             0.27614,             0.24153,             0.11456,             0.11063,            0.019901,            0.022753,            0.001618,            0.001618,            0.001618
                 129,             0.10541,           0.0093999,            0.016386,             0.30964,             0.27477,             0.24374,             0.11372,             0.11147,            0.019794,             0.02305,            0.001552,            0.001552,            0.001552
                 130,             0.10457,           0.0091822,            0.016426,             0.33282,             0.28007,             0.24143,              0.1124,             0.11127,            0.019832,            0.023444,            0.001486,            0.001486,            0.001486
                 131,             0.10471,           0.0094166,            0.015933,             0.30097,             0.27833,             0.23927,             0.11352,             0.11105,            0.019825,            0.023267,             0.00142,             0.00142,             0.00142
                 132,             0.10436,           0.0093966,            0.016207,              0.3174,              0.2846,             0.24627,             0.11569,             0.11117,            0.019793,             0.02337,            0.001354,            0.001354,            0.001354
                 133,             0.10463,           0.0094808,            0.016268,             0.31098,              0.2822,              0.2468,             0.11513,             0.11116,             0.01978,            0.023214,            0.001288,            0.001288,            0.001288
                 134,              0.1052,           0.0092649,            0.016269,             0.31327,             0.27468,             0.24183,             0.11404,             0.11081,            0.019801,            0.022768,            0.001222,            0.001222,            0.001222
                 135,             0.10372,           0.0094271,            0.015503,             0.32016,             0.28351,             0.24811,              0.1163,             0.11053,            0.019829,            0.022735,            0.001156,            0.001156,            0.001156
                 136,             0.10392,           0.0092876,            0.016048,             0.31094,             0.27808,             0.24608,              0.1166,             0.11068,            0.019872,            0.022928,             0.00109,             0.00109,             0.00109
                 137,             0.10409,           0.0092912,            0.016029,             0.31835,             0.27934,             0.25146,             0.11634,             0.11048,            0.019854,            0.022953,            0.001024,            0.001024,            0.001024
                 138,             0.10458,           0.0092382,            0.015989,             0.31598,             0.28298,             0.25014,             0.11612,             0.11066,            0.019773,            0.023047,            0.000958,            0.000958,            0.000958
                 139,             0.10473,           0.0093086,            0.015823,             0.34474,               0.287,             0.24996,             0.11605,             0.11066,             0.01985,             0.02305,            0.000892,            0.000892,            0.000892
                 140,               0.104,           0.0093229,            0.015672,             0.32087,             0.29709,             0.24916,             0.11566,             0.11068,            0.019824,            0.023219,            0.000826,            0.000826,            0.000826
                 141,             0.10457,           0.0093283,            0.016471,              0.3317,              0.2871,             0.24827,             0.11445,             0.11073,            0.019815,            0.023268,             0.00076,             0.00076,             0.00076
                 142,              0.1037,           0.0093424,            0.015539,             0.33541,             0.29534,             0.24849,             0.11544,             0.11084,            0.019711,            0.023546,            0.000694,            0.000694,            0.000694
                 143,             0.10456,           0.0092921,            0.016121,             0.32826,             0.28308,             0.24531,             0.11454,              0.1108,            0.019865,             0.02342,            0.000628,            0.000628,            0.000628
                 144,             0.10447,            0.009304,            0.015972,             0.33761,             0.28769,             0.24919,             0.11673,             0.11101,            0.019847,            0.023162,            0.000562,            0.000562,            0.000562
                 145,              0.1041,           0.0093227,             0.01577,             0.34137,             0.28764,             0.24819,              0.1173,             0.11072,            0.019799,            0.023021,            0.000496,            0.000496,            0.000496
                 146,              0.1041,           0.0094117,            0.015985,             0.32416,             0.27815,             0.24422,             0.11642,             0.11067,             0.01982,            0.023097,             0.00043,             0.00043,             0.00043
                 147,             0.10378,           0.0092959,            0.015683,             0.33752,             0.28932,              0.2485,             0.11702,             0.11068,            0.019815,            0.022889,            0.000364,            0.000364,            0.000364
                 148,             0.10407,           0.0095123,            0.015081,             0.36116,             0.28143,             0.24413,             0.11579,               0.111,              0.0198,            0.023181,            0.000298,            0.000298,            0.000298
                 149,             0.10409,           0.0093579,            0.015611,             0.35192,             0.28796,             0.24609,              0.1163,             0.11078,            0.019766,            0.023339,            0.000232,            0.000232,            0.000232
